x,y,layer1,layer2,voltage1,voltage2,current
3216.54,3006.46,INT2__PWR_,BOTTOM_LAYER,7.65982e-05,7.65982e-05,-0
3216.54,3051.46,TOP_LAYER,INT1__GND_,7.14544e-05,7.30532e-05,-0.00471206
3216.54,3051.46,INT1__GND_,INT2__PWR_,7.30532e-05,7.30532e-05,3.06906e-17
3216.54,3051.46,INT2__PWR_,BOTTOM_LAYER,7.30532e-05,7.30532e-05,3.99432e-17
3216.54,3096.46,TOP_LAYER,INT1__GND_,5.99818e-05,6.69873e-05,-0.0206472
3216.54,3096.46,INT1__GND_,INT2__PWR_,6.69873e-05,6.69873e-05,2.30179e-17
3216.54,3096.46,INT2__PWR_,BOTTOM_LAYER,6.69873e-05,6.69873e-05,-0
3243.54,3427.46,TOP_LAYER,INT1__GND_,4.99989,4.99988,0.00494621
3243.54,3427.46,INT1__GND_,INT2__PWR_,4.99988,4.99988,0.00494621
3243.54,3427.46,INT2__PWR_,BOTTOM_LAYER,4.99988,4.99988,0.0025229
3243.54,3477.46,TOP_LAYER,INT1__GND_,4.99988,4.99988,0.00356926
3243.54,3477.46,INT1__GND_,INT2__PWR_,4.99988,4.99988,0.00356926
3243.54,3477.46,INT2__PWR_,BOTTOM_LAYER,4.99988,4.99988,-1.51459e-05
3268.54,2909.46,TOP_LAYER,INT1__GND_,3.29951,3.29951,0.000516732
3268.54,2909.46,INT1__GND_,INT2__PWR_,3.29951,3.29951,0.000516732
3268.54,2909.46,INT2__PWR_,BOTTOM_LAYER,3.29951,3.29951,1.30886e-12
3268.54,2959.46,TOP_LAYER,INT1__GND_,3.29951,3.29951,0.00148327
3268.54,2959.46,INT1__GND_,INT2__PWR_,3.29951,3.29951,0.00148327
3268.54,2959.46,INT2__PWR_,BOTTOM_LAYER,3.29951,3.29951,1.30886e-12
3278.54,3383.46,TOP_LAYER,INT1__GND_,0.000100202,0.000100202,7.98864e-17
3278.54,3383.46,INT1__GND_,INT2__PWR_,0.000100202,0.000100202,4.60359e-17
3278.54,3383.46,INT2__PWR_,BOTTOM_LAYER,0.000100202,0.000100202,3.99432e-17
3279.54,3264.46,TOP_LAYER,INT1__GND_,9.72997e-05,9.72997e-05,-1.1983e-16
3279.54,3264.46,INT1__GND_,INT2__PWR_,9.72997e-05,9.72997e-05,4.60359e-17
3279.54,3264.46,INT2__PWR_,BOTTOM_LAYER,9.72997e-05,9.72997e-05,-0
3300.54,3427.46,TOP_LAYER,INT1__GND_,4.99988,4.99988,0.00334025
3300.54,3427.46,INT1__GND_,INT2__PWR_,4.99988,4.99987,0.00334025
3300.54,3427.46,INT2__PWR_,BOTTOM_LAYER,4.99987,4.99987,-0.00158397
3300.54,3477.46,TOP_LAYER,INT1__GND_,4.99988,4.99988,0.00343497
3300.54,3477.46,INT1__GND_,INT2__PWR_,4.99988,4.99987,0.00343497
3300.54,3477.46,INT2__PWR_,BOTTOM_LAYER,4.99987,4.99987,-0.000923789
3321,3133.01,TOP_LAYER,INT1__GND_,4.99976,4.99976,-0.00632189
